timestamp_t,image_path_t,drive_state_t,sonar_0_t,sonar_1_t,sonar_2_t,sonar_3_t,sonar_4_t,steer_cls_t,throttle_cls_t,timestamp_tk,steer_cls_tk,k,split
1769513211422.0,learning_data/20260127_202651/images/frame_00000000_1769513211422.jpg,READY,0.5075525045394897,0.5427577495574951,0.8028513193130493,0.534866213798523,0.9175443649291992,1,2,1769513211543.0,1,1,train
1769513211543.0,learning_data/20260127_202651/images/frame_00000001_1769513211543.jpg,READY,3.68526554107666,0.5381373167037964,0.8019517660140991,0.5383008718490601,0.9217967987060547,1,2,1769513211652.0,1,1,train
1769513211652.0,learning_data/20260127_202651/images/frame_00000002_1769513211652.jpg,READY,0.5718705654144287,0.5344982147216797,0.8024015426635742,0.5345799922943115,0.9215923547744751,1,2,1769513211760.0,1,1,train
1769513211760.0,learning_data/20260127_202651/images/frame_00000003_1769513211760.jpg,READY,0.5718705654144287,0.5343755483627319,0.8022379875183105,0.5432484149932861,0.917667031288147,1,2,1769513211907.0,1,1,train
1769513211907.0,learning_data/20260127_202651/images/frame_00000004_1769513211907.jpg,READY,0.6226544380187988,0.5381373167037964,0.8059588670730591,0.5349071025848389,0.5788216590881348,1,2,1769513212009.0,1,1,val
1769513212009.0,learning_data/20260127_202651/images/frame_00000005_1769513212009.jpg,READY,0.6226544380187988,0.538341760635376,0.8064086437225342,0.5347435474395752,0.9178714752197266,1,2,1769513212117.0,1,1,train
1769513212117.0,learning_data/20260127_202651/images/frame_00000006_1769513212117.jpg,READY,3.923074722290039,0.5385462045669556,0.802033543586731,0.5345799922943115,0.9175852537155151,1,2,1769513212245.0,1,1,train
1769513212245.0,learning_data/20260127_202651/images/frame_00000007_1769513212245.jpg,READY,3.923074722290039,0.5384235382080078,0.8026468753814697,0.5340484380722046,0.9222874641418457,1,2,1769513212354.0,1,1,train
1769513212354.0,learning_data/20260127_202651/images/frame_00000008_1769513212354.jpg,READY,1.1528184413909912,0.5383826494216919,0.8026059865951538,0.4605304002761841,0.8107019662857056,1,2,1769513212462.0,1,1,val
1769513212462.0,learning_data/20260127_202651/images/frame_00000009_1769513212462.jpg,READY,1.1528184413909912,0.5387097597122192,0.806981086730957,0.5306546688079834,0.9134963750839233,1,2,1769513212570.0,1,1,train
1769513212570.0,learning_data/20260127_202651/images/frame_00000010_1769513212570.jpg,READY,1.1528184413909912,0.5382190942764282,0.8023197650909424,0.5383008718490601,0.9132101535797119,1,2,1769513212679.0,1,1,train
1769513212679.0,learning_data/20260127_202651/images/frame_00000011_1769513212679.jpg,READY,1.1528184413909912,0.5434119701385498,0.8031375408172607,0.4341162443161011,0.9307923316955566,1,2,1769513212780.0,1,1,train
1769513212780.0,learning_data/20260127_202651/images/frame_00000012_1769513212780.jpg,READY,1.1528184413909912,0.5382599830627441,0.8029330968856812,0.5342119932174683,0.9215514659881592,1,2,1769513212882.0,1,1,train
